,genres
1171,mizrahi
1172,israeli pop
1173,israeli hip hop
1174,israeli trap
1175,israeli mediterranean
1176,mizrahi
1177,israeli mediterranean
1178,israeli mediterranean
1179,israeli mediterranean
1180,israeli mediterranean
1181,israeli pop
1182,mizrahi
1183,israeli pop
1184,festigal
1185,israeli pop
1186,israeli hip hop
1187,israeli trap
1188,israeli mediterranean
1189,israeli pop
1190,israeli mediterranean
1191,israeli pop
1192,israeli pop
1193,israeli mediterranean
1194,israeli pop
1195,israeli pop
1196,israeli pop
1197,israeli pop
1198,israeli hip hop
1199,israeli trap
1200,festigal
1201,israeli pop
1202,bergamo indie
1203,italian indie pop
1204,italian pop
1205,milan indie
1206,italian adult pop
1207,italian pop
1208,italian pop
1209,italian hip hop
1210,rap genovese
1211,bergamo indie
1212,italian indie pop
1213,italian pop
1214,milan indie
1215,italian adult pop
1216,italian pop
1217,italian hip hop
1218,italian hip hop
1219,italian underground hip hop
1220,rap sardegna
1221,italian hip hop
1222,trap metal italiana
1223,italian pop
1224,j-pop
1225,japanese singer-songwriter
1226,japanese teen pop
1227,anime
1228,anime rock
1229,j-pop
1230,j-pop
1231,japanese teen pop
1232,japanese teen pop
1233,j-pop
1234,japanese teen pop
1235,j-pop
1236,japanese teen pop
1237,j-pop
1238,japanese singer-songwriter
1239,japanese teen pop
1240,city pop
1241,j-pop
1242,j-rock
1243,japanese alternative rock
1244,japanese r&b
1245,k-pop
1246,k-pop girl group
1247,j-pop
1248,j-pop boy group
1249,j-pop
1250,j-rock
1251,j-pop
1252,j-pop
1253,japanese teen pop
1254,j-pop
1255,japanese teen pop
1256,j-pop
1257,japanese singer-songwriter
1258,japanese teen pop
1259,j-pop
1260,japanese teen pop
1261,anime
1262,anime rock
1263,j-pop
1264,j-pop
1265,japanese teen pop
1266,anime
1267,anime rock
1268,j-pop
1269,j-pop
1270,japanese soul
1271,anime
1272,anime rock
1273,j-pixie
1274,anime
1275,anime rock
1276,j-pop
1277,j-pop
1278,japanese pop rap
1279,j-pop
1280,japanese singer-songwriter
1281,japanese teen pop
1282,j-pop
1283,japanese teen pop
1284,j-acoustic
1285,j-pop
1286,j-pop
1287,japanese soul
1288,anime
1289,j-division
1290,j-pop
1291,anime rock
1292,j-pop
1293,japanese punk rock
1294,j-pop
1295,japanese teen pop
1296,j-pop
1297,japanese teen pop
1298,anime
1299,anime rock
1300,j-pop
1301,j-pop
1302,japanese teen pop
1303,j-pop
1304,japanese teen pop
1305,anime
1306,j-pop
1307,russian hip hop
1308,russian pop
1309,dreamo
1310,indie pop
1311,indie surf
1312,surf punk
1313,vegas indie
1314,russian hip hop
1315,russian trap
1316,afrofuturism
1317,russian hip hop
1318,russian trap
1319,russian hip hop
1320,russian trap
1321,russian hip hop
1322,russian trap
1323,dark trap
1324,new orleans rap
1325,underground hip hop
1326,lithuanian pop
1327,lithuanian pop
1328,austrian pop
1329,deep house
1330,new french touch
1331,tropical house
1332,lithuanian indie
1333,lithuanian pop
1334,lithuanian rock
1335,lithuanian pop
1336,k-pop
1337,k-pop boy group
1338,pop
1339,r&b
1340,permanent wave
1341,pop
1342,dubstep
1343,edm
1344,pop dance
1345,mexican hip hop
1346,pop venezolano
1347,mexican hip hop
1348,regional mexican
1349,corridos tumbados
1350,nuevo regional mexicano
1351,regional mexican
1352,sierreno
1353,corrido
1354,corridos tumbados
1355,nuevo regional mexicano
1356,sierreno
1357,corrido
1358,corridos tumbados
1359,nuevo regional mexicano
1360,regional mexican
1361,sierreno
1362,corrido
1363,corridos tumbados
1364,nuevo regional mexicano
1365,moroccan pop
1366,rap maroc
1367,rap maroc
1368,moroccan pop
1369,rap maroc
1370,afro r&b
1371,moroccan pop
1372,rai
1373,rap maroc
1374,arabic hip hop
1375,rap maroc
1376,moroccan pop
1377,rap maroc
1378,moroccan pop
1379,rap maroc
1380,moroccan pop
1381,rap maroc
1382,moroccan pop
1383,rap maroc
1384,rap maroc
1385,arabic hip hop
1386,rap maroc
1387,moroccan pop
1388,rai
1389,moroccan pop
1390,rai
1391,moroccan pop
1392,rap maroc
1393,moroccan pop
1394,rai
1395,rap maroc
1396,arabic hip hop
1397,moroccan pop
1398,rap maroc
1399,arabic hip hop
1400,rai
1401,rap tunisien
1402,rif
1403,tunisian pop
1404,moroccan pop
1405,rai
1406,rif
1407,moroccan pop
1408,rai
1409,moroccan pop
1410,rap maroc
1411,moroccan pop
1412,rap maroc
1413,moroccan pop
1414,rap maroc
1415,moroccan pop
1416,rap maroc
1417,moroccan pop
1418,rap maroc
1419,rap maroc
1420,moroccan pop
1421,rap maroc
1422,moroccan pop
1423,rap maroc
1424,arabic hip hop
1425,moroccan pop
1426,rap maroc
1427,arabic hip hop
1428,rap maroc
1429,moroccan pop
1430,rap maroc
1431,dutch pop
1432,dutch rap pop
1433,dutch pop
1434,dutch r&b
1435,dutch rap pop
1436,dutch pop
1437,dutch hip hop
1438,dutch pop
1439,dutch rock
1440,dutch pop
1441,dutch rock
1442,dutch pop
1443,dutch pop
1444,dutch hip hop
1445,dutch rap pop
1446,hawaiian hip hop
1447,rap
1448,nz reggae
1449,pacific islands pop
1450,pacific islands pop
1451,waiata maori
1452,pop rap
1453,nz reggae
1454,pacific islands pop
1455,nz reggae
1456,pacific islands pop
1457,nz reggae
1458,pacific islands pop
1459,pop
1460,uk pop
1461,latin
1462,reggaeton
1463,trap latino
1464,latin
1465,reggaeton
1466,trap latino
1467,latin
1468,reggaeton
1469,trap latino
1470,latin
1471,reggaeton
1472,trap latino
1473,norwegian indie
1474,norwegian pop
1475,tropical house
1476,norwegian pop
1477,norwegian pop rap
1478,russelater
1479,norwegian indie
1480,norwegian pop
1481,tropical house
1482,edm
1483,pop
1484,pop dance
1485,tropical house
1486,norwegian indie
1487,norwegian pop
1488,tropical house
1489,norwegian pop
1490,swedish gangsta rap
1491,swedish hip hop
1492,swedish trap
1493,swedish trap pop
1494,electro house
1495,latin
1496,reggaeton
1497,trap latino
1498,latin
1499,reggaeton
1500,trap latino
1501,latin
1502,panamanian pop
1503,reggaeton
1504,trap latino
1505,latin
1506,panamanian pop
1507,reggaeton
1508,trap latino
1509,cumbia 420
1510,cumbia villera
1511,latin
1512,reggaeton
1513,trap latino
1514,latin
1515,salsa
1516,salsa venezolana
1517,tropical
1518,colombian pop
1519,reggaeton colombiano
1520,latin
1521,latin arena pop
1522,latin pop
1523,spanish pop
1524,opm
1525,opm
1526,opm
1527,opm
1528,pinoy hip hop
1529,pinoy r&b
1530,pinoy trap
1531,tagalog rap
1532,opm
1533,opm
1534,opm
1535,pinoy hip hop
1536,tagalog rap
1537,opm
1538,opm
1539,pinoy singer-songwriter
1540,chill r&b
1541,k-pop
1542,korean r&b
1543,opm
1544,opm
1545,pinoy idol pop
1546,opm
1547,pinoy reggae
1548,pinoy rock
1549,polish hip hop
1550,polish trap
1551,polish hip hop
1552,polish trap
1553,polish hip hop
1554,polish trap
1555,polish hip hop
1556,polish pop
1557,polish trap
1558,polish hip hop
1559,polish trap
1560,polish hip hop
1561,polish trap
1562,polish alternative rap
1563,polish hip hop
1564,polish hip hop
1565,polish trap
1566,polish alternative
1567,polish hip hop
1568,polish trap
1569,polish hip hop
1570,polish hip hop
1571,polish trap
1572,polish hip hop
1573,polish trap
1574,polish hip hop
1575,polish trap
1576,polish hip hop
1577,polish trap
1578,polish hip hop
1579,polish trap
1580,polish hip hop
1581,polish hip hop
1582,polish hip hop
1583,polish trap
1584,polish pop
1585,funk carioca
1586,pop nacional
1587,spanish pop
1588,portuguese pop
1589,hip hop tuga
1590,trap tuga
1591,portuguese pop
1592,portuguese pop
1593,funk carioca
1594,funk ostentacao
1595,funk paulista
1596,musica santomense
1597,portuguese pop
1598,rap portuense
1599,hip hop tuga
1600,rap criolo
1601,sertanejo
1602,sertanejo pop
1603,sertanejo universitario
1604,funk bh
1605,funk carioca
1606,funk mandelao
1607,funk viral
1608,funk 150 bpm
1609,funk carioca
1610,funk bh
1611,electro house
1612,pop nacional
