,track_id,chroma,chroma_cens,mff,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness,Spectral_Rolloff,poly_features,tonnetz,ZCR,onset_strength,pitch,magnitude,tempo
1086,6GDI4Y8fOsptYwSW2iIUbe,0.3061069,0.2578075799918877,0.3808051,1747.1945193975168,2273.4574991620207,22.92647498687394,0.00997033,3594.703263321159,2.273022426322285,0.0191566401916285,0.0597407574255031,1.5867267,10.61851,0.28098676,92.28515625
1087,0AGhwXsWpVOwjHY5yf4dtD,0.3981279,0.2521929476054446,6.43881,2300.364595752317,2554.334099742858,20.985557655105747,0.020755978,5056.277758713477,4.097636664540852,0.0058704499872497,0.09195409249226,1.3901019,17.981987,0.49576187,161.49902344
1088,20r8bPumn1cybDcUEh2NPZ,0.34803557,0.2463617370820348,3.2597084,2053.500599761702,2205.275183162755,23.171764945325283,0.009503373,4338.307100183823,3.3296521102619443,-0.011180527547864,0.0960742489841331,1.1520482,22.948652,0.46452188,112.34714674
1089,5AukYCDfrtIPvlqG6ZsFR9,0.3776722,0.2424531842441996,1.9014046,1903.1096170680771,2271.799061331716,21.874452183041143,0.009843151,4054.358817180244,4.2621092020314,-0.0354858024008276,0.0777716385690789,1.0987003,17.874239,0.6276221,95.703125
1090,3kVApGWaoR48GzDagnY55b,0.35592583,0.2431951900863306,6.2048464,2271.6650837580414,2289.7008041393087,20.913028714480927,0.017882016,4542.339199762964,4.221558355788584,-0.0019813425163969,0.1158609774090557,1.0971893,35.02117,0.5536019,112.34714674
1091,6bi1KEQMr9oOSBodFj5QD2,0.3252978,0.229687622657397,5.0248094,1912.0039994536476,2421.633547768576,22.218496286628916,0.007530301,4425.656571993518,2.896286136855673,-0.0215373932807391,0.0701087975280572,1.2902197,9.25935,0.34075987,117.45383523
1092,5l3HFThm3Xlv8c9mmiTUgT,0.37216464,0.2308327074012044,1.7856457,1924.2515698697705,2327.226994212111,21.675715642926345,0.014250959,4004.0341214867935,2.5457541961735206,0.0210472014255484,0.0697051718508127,1.7507007,10.47695,0.2388022,92.28515625
1093,4GGNl8jiANylTJj4hfzqP7,0.37371063,0.2596813791366804,5.515314,2359.7248308285098,2676.5900758034027,21.80678702170073,0.023571873,5250.893248566902,2.813739118681778,-0.0022785022522225,0.0833543712509675,1.9985019,14.672065,0.26984668,95.703125
1094,4CTgPJbgNQ031q8HzhTtq2,0.42487025,0.2558706508361609,6.2409153,2707.6303770514555,2508.349089819097,21.72208227788607,0.027729696,5520.77494996251,3.3295343075508312,-0.017485144248261,0.1318601248065015,1.3302096,32.170273,0.33110604,172.265625
1095,0nYZ6GR0fCPmxqjPOaPGjJ,0.39380082,0.2590920983094069,5.1419926,1812.621194809217,2229.521683063293,21.053248988181014,0.014552503,3714.644204721362,3.680138951556762,0.0077515458718984,0.065556292932469,1.8048211,12.636483,0.40800464,107.66601562
